NDC Number,Date Introduced to Market,WAC at Introduction,Marketing/Pricing Plan Non-Public Indicator,Estimated Number of Patients,Breakthrough Therapy Indicator,Priority Review Indicator,Acquisition Date,Acquisition Price,Acquisition Price Non-Public Indicator
72626260101,2019-01-02,8000,,,,,,,
72626270101,2019-01-02,12000,,,,,,,
469133050,2019-03-12,388.05,1,,,,,,
469123050,2019-03-12,260,1,,,,,,
338955810,2019-02-21,240,1,,,,,,
71715000221,2019-02-01,1185,1,12000,,1,,,
71715000223,2019-02-01,2765,1,12000,,1,,,
71715000224,2019-02-01,3160,1,12000,,1,,,
71715000102,2019-02-01,3450,1,12000,,1,,,
52440010014,2019-03-01,4950,1,800,,,,,1
42747060290,2019-09-19,4500,1,,,,,,
42747060490,2019-09-19,4500,1,,,,,,
55566100001,2019-02-14,184.02,1,,1,,2018-12-14,,1
49702024613,2019-04-23,2295,1,,,,,,
59148002985,2019-03-04,1650,1,,,,,,
59148003085,2019-03-04,1650,1,,,,,,
59148003185,2019-03-04,1650,1,,,,,,
59148003285,2019-03-04,1650,1,,,,,,
59148003385,2019-03-04,1650,1,,,,,,
59148003485,2019-03-04,1650,1,,,,,,
55513088002,2019-04-15,1825,1,,,,,,
55513013201,2019-07-19,3697.26,,,,,,,
55513020601,2019-07-19,677.4,,,,,,,
55513020701,2019-07-19,2709.6,,,,,,,
24979003504,2019-03-01,900,1,3534,,,,,1
24979003604,2019-03-01,900,1,1485,,,,,1
51862060602,2019-01-14,1473.46,1,,,,2018-10-25,15000000,
51862060650,2019-01-14,770.72,1,,,,2018-10-25,15000000,
51862063428,2019-06-19,1300.51,1,,,,,,
51862063528,2019-06-19,1643.14,1,,,,,,
51862063628,2019-06-19,2384.06,1,,,,,,
51862063728,2019-06-19,3095.21,1,,,,,,
51862063828,2019-06-19,3813.17,1,,,,,,
78098615,2019-03-27,7273.97,,320000,,1,,,
78097950,2019-03-27,1697.26,,320000,,1,,,
78070802,2019-05-24,15500,,43000,,,,,
78071502,2019-05-24,15500,,43000,,,,,
78070184,2019-05-24,15500,,43000,,,,,
42794005108,2019-04-29,5980,,,,,,,
42794005208,2019-04-29,5980,,,,,,,
74204202,2019-04-29,14750,,,,,,,
74230630,2019-08-20,4916.67,,,,,,,
44087040004,2019-04-02,28428.56,1,,,,,,
44087040005,2019-04-02,35535.7,1,,,,,,
44087040006,2019-04-02,42642.84,1,,,,,,
44087040007,2019-04-02,49749.98,1,,,,,,
44087040008,2019-04-02,56857.12,1,,,,,,
44087040009,2019-04-02,63964.26,1,,,,,,
44087040010,2019-04-02,71071.4,1,,,,,,
44087353501,2019-05-14,1572.7,1,,1,1,,,
65597040228,2019-08-06,19800,1,,1,1,,,
