Manufacturer Name,NDC Number,Drug Product Description,Date Introduced to Market,WAC at Introduction,Marketing/Pricing Plan Description,Marketing/Pricing Plan Non-Public Indicator,Estimated Number of Patients,Breakthrough Therapy Indicator,Priority Review Indicator,Acquisition Date,Acquisition Price,Acquisition Price Non-Public Indicator,Acquisition Price Comment,General Comments,Supporting Documents
SUN PHARMACEUTICALS,47335093640,"Leuprolide Acetate Injection 1Mg/0.2Ml, 2.8Ml",2019-03-01,705.6700,,1,,,,,,,,"ESTIMATED_PATIENTS: unknown to Sun; MARKETING_PRICING_NONPUBLIC:This information is proprietary to Sun and as such, is non-public.",
SUN PHARMACEUTICALS,47335023683,Ambrisentan 5 mg Tabs 30ct,2019-04-25,7500.0000,"This product is priced to reflect a discount off of the Reference Drug listed by the FDA. Sun representatives, who are responsible for generic sales, do not promote to health care providers.",,0,,,,,,,"Estimated average of patients per month is unknown to Sun Pharma. This product (ANDA approval) is being marketed in the generic, multisource space.",
SUN PHARMACEUTICALS,47335023783,Ambrisentan 10 mg Tabs 30ct,2019-04-25,7500.0000,"This product is priced to reflect a discount off of the Reference Drug listed by the FDA. Sun representatives, who are responsible for teneric sales, do not promote to health care providers.",,0,,,,,,,"Estimated average of patients per month is unknown to Sun Pharma. This product (ANDA approval) is being marketed in the generic, multisource space.",
SUN PHARMACEUTICALS,47335003886,Bosentan Tablets 62.5mg 60ct,2019-06-14,6281.0700,"This product is priced to reflect a discount off of the Reference Drug listed by the FDA. Sun representatives, who are responsible for generic sales, do not promote to health care providers.",,0,,,,,,,"Estimated average of patients per month is unknown to Sun Pharma. This product (ANDA approval) is being marketed in the generic, multisource space.",
SUN PHARMACEUTICALS,47335003986,Bosentan Tablets 125mg 60ct,2019-06-14,6281.0700,"This product is priced to reflect a discount off of the Reference Drug listed by the FDA. Sun representatives, who are responsible for generic sales, do not promote to health care providers.",,0,,,,,,,"Estimated average of patients per month is unknown to Sun Pharma. This product (ANDA approval) is being marketed in the generic, multisource space.",
SUN PHARMACEUTICALS,63304073410,Esomeprazole 20mg DR Cap  1000ct,2019-05-15,826.7100,"This product is priced to reflect a discount off of the Reference Drug listed by the FDA. Sun representatives, who are responsible for generic sales, do not promote to health care providers.",,0,,,,,,,"Estimated average of patients per month is unknown to Sun Pharma. This product (ANDA approval) is being marketed in the generic, multisource space.",
SUN PHARMACEUTICALS,63304073510,Esomeprazole 40mg DR Cap 1000ct,2019-05-07,826.7100,"This product is priced to reflect a discount off of the Reference Drug listed by the FDA. Sun representatives, who are responsible for generic sales, do not promote to health care providers.",,0,,,,,,,"Estimated average of patients per month is unknown to Sun Pharma. This product (ANDA approval) is being marketed in the generic, multisource space.",
SUN PHARMACEUTICALS,47335037983,Cinacalcet HCL Oral Tablet 30MG,2019-08-27,685.7000,"This product is being marketed in the generic, multisource space. This product is priced to reflect a discount off of the Reference Drug listed by the FDA. Sun representatives, who are responsible for generic sales, do not promote to health care providers.",,0,,,,,,,Estimated average of patients per month is unknown to Sun Pharma; Sun received FDA approval for the drug’s ANDA application (Application number A207008),
SUN PHARMACEUTICALS,47335038083,Cinacalcet HCL Oral Tablet 60MG,2019-08-27,1371.3900,"This product is being marketed in the generic, multisource space. This product is priced to reflect a discount off of the Reference Drug listed by the FDA. Sun representatives, who are responsible for generic sales, do not promote to health care providers.",,0,,,,,,,Estimated average of patients per month is unknown to Sun Pharma; Sun received FDA approval for the drug’s ANDA application (Application number A207008),
SUN PHARMACEUTICALS,47335060083,Cinacalcet HCL Oral Tablet 90MG,2019-08-27,2057.0900,"This product is being marketed in the generic, multisource space. This product is priced to reflect a discount off of the Reference Drug listed by the FDA. Sun representatives, who are responsible for generic sales, do not promote to health care providers.",,0,,,,,,,Estimated average of patients per month is unknown to Sun Pharma; Sun received FDA approval for the drug’s ANDA application (Application number A207008),
