Library service,Library name,In use 2010,In use 2016,Type of library,Type of closed library,Closed,New building,Replace existing,Notes,Weekly hours open,Weekly hours staffed
Barking and Dagenham,Barking,Yes,Yes,LAL,,,,,,72.0,72.0
Barking and Dagenham,Castle Green,Yes,No,,XL,Mar-13,,,Closed as a public library 31.3.2013. Secondary School library Jo Richardson School,,
Barking and Dagenham,Dagenham,No,Yes,LAL,,,Oct-10,Yes,Replaced Fanshawe and Rectory libraries,56.0,56.0
Barking and Dagenham,Fanshawe,Yes,No,,XLR,Sep-10,,,Closed September 2010 replaced by Dagenham Library,,
Barking and Dagenham,Marks Gate,Yes,Yes,CRL,,,,,Volunteer led with local authority staff support. Local authority staff available to customers for hours outlined in column N. Staffing shared with Robert Jeyes Community Library.,9.0,9.0
Barking and Dagenham,Markyate,Yes,No,,XL,Sep-12,,,former library part of complex now pre school nursery,,
Barking and Dagenham,Rectory,Yes,No,,XLR,2010,,,Replaced by Dagenham library,,
Barking and Dagenham,Robert Jeyes Community Library,Yes,Yes,CRL,,,,,"Former Robert Jeyes Library, now operated as Robert Jeyes Community Library and run from a charity led community centre. Opened as a community library October 2014 after a re-configuration and refit of original building to create a community centre and library. Local authority staff available to customers for hours outlined in column N.",14.5,14.5
Barking and Dagenham,Rush Green,Yes,No,,XL,Dec-13,,,Collection moved to B&D college. College library provides access to the public to library services and resources from its Learning Resource Centre,,
Barking and Dagenham,Thames View,Yes,Yes,LAL,,,,,Library is co-sited with Children's Centre,30.0,30.0
Barking and Dagenham,Valence,Yes,Yes,LAL,,,,,Community Capacity grant works to create Older Peoples area,36.0,36.0
Barking and Dagenham,Wantz,yes,No,,XL,2012,,,Now Eastbrook Community Centre,,
Barnet,Burnt Oak ,yes,yes,LAL,,,,,,51.0,51.0
Barnet,Childs Hill ,yes,yes,LAL,,,,,Offer to community be a partnership library,35.0,35.0
Barnet,Chipping Barnet ,yes,yes,LAL,,,,,Some refurbishment planned,56.5,56.5
Barnet,Church End ,yes,yes,LAL,,,,Yes,"New site due 2017, will replace current site",50.5,50.5
Barnet,East Barnet ,yes,yes,LAL,,,,,Offer to community be a partnership library,50.5,50.5
Barnet,East Finchley,yes,yes,LAL,,,,,Some refurbishment planned,40.0,40.0
Barnet,Edgware ,yes,yes,LAL,,,,,Some refurbishment planned ,53.5,53.5
Barnet,Friern Barnet Community Library ,Yes,No,ICL,,,,,,,
Barnet,Garden Suburb Community Library ,Yes,No,ICL,,,,,,,
Barnet,Golders Green ,yes,yes,LAL,,,,,Some refurbishment planned and library to become smaller,46.0,46.0
Barnet,Grahame Park (now called Colindale),yes,yes,LAL,,,Sep-16,Yes,Replaced Grahame Park Library,35.0,35.0
Barnet,Hendon,yes,yes,LAL,,,,,Some refurbishment planned and library to become smaller,56.5,56.5
Barnet,Mill Hill ,yes,yes,LAL,,,,,Offer to community be a partnership library,43.0,43.0
Barnet,North Finchley ,yes,yes,LAL,,,,,Some refurbishment planned and library to become smaller,43.0,43.0
Barnet,Osidge,yes,yes,LAL,,,,,Some refurbishment planned and library to become smaller,39.0,39.0
Barnet,South Friern ,yes,yes,LAL,,,,,Offer to community be a partnership library,35.0,35.0
Barnsley,Barnsley Central Library ,yes,yes,LAL,,,2014,Yes,"2014 library was a re-location, not a new build. New building planned for 2017",49.5,49.5
Barnsley,Central,yes,no,,XLR,2014,,,Library relocated to Barnsley Central Library at Wellington House ,,
Barnsley,Cudworth ,yes,yes,LAL,,,,,,44.5,44.5
Barnsley,Darfield ,yes,yes,LAL,,,,,,31.0,31.0
Barnsley,Dodworth ,yes,yes,LAL,,,,,,31.0,31.0
Barnsley,Goldthorpe ,yes,yes,LAL,,,,,,42.5,42.5
Barnsley,Grimethorpe ,yes,yes,LAL,,,,,,39.5,39.5
Barnsley,Hoyland ,yes,no,,XLR,2011,,,Replaced by new Hoyland library,45.0,45.0
Barnsley,Hoyland ,no,yes,LAL,,,2011,Yes,New building to replace old library,,
Barnsley,Kendray ,yes,no,,XL,2015,,,,,
Barnsley,Mapplewell ,yes,yes,LAL,,,,,,45.0,45.0
Barnsley,Penistone ,yes,yes,LAL,,,,,,40.5,40.5
Barnsley,Priory ,yes,yes,CL,,,,,"Statutory provision, delivered by an organisation under a MOU, but not staffed by volunteers or Local Authority staff.  Not funded by Local Authority.",32.5,32.5
Barnsley,Roundhouse ,yes,yes,LAL,,,,,,41.5,41.5
Barnsley,Royston ,yes,yes,LAL,,,,,,44.5,44.5
Barnsley,Thurnscoe ,yes,yes,LAL,,,,,,31.5,31.5
Barnsley,Wombwell ,yes,yes,LAL,,,,,Refurbishment in 2014,42.5,42.5
Barnsley,Worsbrough ,yes,yes,LAL,,,,,,31.0,31.0
Bath and NE Somerset,Bath Central,yes,yes,LAL,,,,,Opening hours will change from October 31,55.0,55.0
Bath and NE Somerset,Chew Stoke Community Library,no,no,CRL,,,,,"Library is in The Bilbie Room, a function room within the Chew Stoke Inn",0.0,0.0
Bath and NE Somerset,Combe Hay Community Library,no,no,CRL,,,,,Library is inside Combe Hay Church,0.0,0.0
Bath and NE Somerset,Keynsham,yes,yes,LAL,,,2014,Yes,Opening hours will change from October 31,50.5,50.5
Bath and NE Somerset,Larkhall Community Library,no,no,CRL,,,,,Library is inside Oriel Hall,0.0,0.0
Bath and NE Somerset,Midsomer Norton,yes,yes,LAL,,,,,Opening hours will change from October 31,37.5,37.5
Bath and NE Somerset,Moorland Road,yes,yes,LAL,,,,,Opening hours will change from October 31,25.0,25.0
Bath and NE Somerset,Paulton (The Hub),yes,yes,LAL,,,2013,Yes,Opening hours will change from October 31,22.0,22.0
Bath and NE Somerset,Radstock,yes,yes,LAL,,,,,Opening hours will change from October 31,21.0,21.0
Bath and NE Somerset,Saltford,yes,yes,LAL,,,,,Opening hours will change from October 31,13.0,13.0
Bath and NE Somerset,Southside Community Library,no,no,CRL,,,,,Library is in Southside Youth Centre adjacent to cafe,0.0,0.0
Bath and NE Somerset,Weston,yes,yes,LAL,,,,,Opening hours will change from October 31,21.5,21.5
Bedford,Bedford Central Library,yes,yes,LAL,,,,,,48.0,48.0
Bedford,Bromham,yes,yes,LAL,,,,,,21.0,21.0
Bedford,Kempston,yes,yes,LAL,,,,,,40.0,40.0
Bedford,Putnoe,yes,yes,LAL,,,,,,40.0,40.0
Bedford,Wootton,yes,yes,LAL,,,,,,18.0,18.0
Bexley,Bexley Community Library,yes,no,ICL+,,,,,Temporary closure - closed 3/7/12 and reopened as a community library on 5/7/12. Closed 5/9/15 for refurbishment and reopened on 29/9/15,25.0,25.0
Bexley,Blackfen Community Library,yes,no,ICL+,,,,,Temporary closure - closed 9/4/16 and reopened as a community library on 25/4/16,27.0,27.0
Bexley,Bostall Community Library,yes,no,ICL+,,,,,Temporary closure - closed 22/3/16 and reopened as a community library on 4/4/16,27.0,27.0
Bexley,Central Library,yes,yes,LAL,,,,,,52.0,52.0
