ProductID;InstrumentID;PriceGranularityRuleSRQS;NegotiationDurationSRQS
AT00000FACC2;2504163;ON_BOOK_PRICE_STEPS;180
AT0000606306;2504165;ON_BOOK_PRICE_STEPS;180
AT0000609607;2504166;ON_BOOK_PRICE_STEPS;180
AT0000641352;2504167;ON_BOOK_PRICE_STEPS;180
AT0000644505;2504168;ON_BOOK_PRICE_STEPS;180
AT0000652011;2504169;ON_BOOK_PRICE_STEPS;180
AT0000652250;2504170;ON_BOOK_PRICE_STEPS;180
AT0000720008;2504173;ON_BOOK_PRICE_STEPS;180
AT0000730007;2504174;ON_BOOK_PRICE_STEPS;180
AT0000743059;2504175;ON_BOOK_PRICE_STEPS;180
AT0000746409;2504176;ON_BOOK_PRICE_STEPS;180
AT0000776307;3490681;ON_BOOK_PRICE_STEPS;900
AT0000785407;2504178;ON_BOOK_PRICE_STEPS;900
AT0000818802;2504180;ON_BOOK_PRICE_STEPS;180
AT0000821103;2504182;ON_BOOK_PRICE_STEPS;180
AT0000827209;2504183;ON_BOOK_PRICE_STEPS;900
AT0000831706;2504184;ON_BOOK_PRICE_STEPS;180
AT0000837307;2504186;ON_BOOK_PRICE_STEPS;180
AT0000908504;2504187;ON_BOOK_PRICE_STEPS;180
AT0000922554;2504188;ON_BOOK_PRICE_STEPS;900
AT0000937503;2504189;ON_BOOK_PRICE_STEPS;180
AT0000946652;2504190;ON_BOOK_PRICE_STEPS;180
AT0000969985;2504191;ON_BOOK_PRICE_STEPS;180
AT0000A00Y78;2504161;ON_BOOK_PRICE_STEPS;900
AT0000A0E9W5;2504159;ON_BOOK_PRICE_STEPS;180
AT0000A21KS2;3294473;ON_BOOK_PRICE_STEPS;180
AT0000APOST4;2504158;ON_BOOK_PRICE_STEPS;180
AT0000KTMI02;3218652;ON_BOOK_PRICE_STEPS;900
AT000AGRANA3;3353273;ON_BOOK_PRICE_STEPS;900
ATFREQUENT09;4064506;ON_BOOK_PRICE_STEPS;900
BE0974293251;2504195;ON_BOOK_PRICE_STEPS;180
BG9000011163;2914339;ON_BOOK_PRICE_STEPS;180
BGCROEX03189;3121709;ON_BOOK_PRICE_STEPS;180
BGCZPX003174;3058941;ON_BOOK_PRICE_STEPS;180
BGGRASE06174;3058942;ON_BOOK_PRICE_STEPS;180
BGHUBUX01189;3121710;ON_BOOK_PRICE_STEPS;180
BGMACMB06181;3121711;ON_BOOK_PRICE_STEPS;180
BGPLWIG04173;3058943;ON_BOOK_PRICE_STEPS;180
BGROBET05176;3058944;ON_BOOK_PRICE_STEPS;180
BGSKSAX04187;3121712;ON_BOOK_PRICE_STEPS;180
BGSLOBI02187;3121713;ON_BOOK_PRICE_STEPS;180
BGSRBBE05183;3121714;ON_BOOK_PRICE_STEPS;180
CA0679011084;2504196;ON_BOOK_PRICE_STEPS;900
CA26154A1066;2509632;ON_BOOK_PRICE_STEPS;900
CA32076V1031;2504197;ON_BOOK_PRICE_STEPS;180
CA4969024047;2504199;ON_BOOK_PRICE_STEPS;900
CA9628791027;2504200;ON_BOOK_PRICE_STEPS;900
CA98462Y1007;2504201;ON_BOOK_PRICE_STEPS;900
CH0003583256;2504204;ON_BOOK_PRICE_STEPS;900
CH0006539198;2504206;ON_BOOK_PRICE_STEPS;900
CH0008742519;2504207;ON_BOOK_PRICE_STEPS;180
CH0010570767;2504211;ON_BOOK_PRICE_STEPS;180
CH0011075394;2504215;ON_BOOK_PRICE_STEPS;180
CH0012005267;2504217;ON_BOOK_PRICE_STEPS;900
CH0012032048;2504218;ON_BOOK_PRICE_STEPS;180
CH0012032113;2504219;ON_BOOK_PRICE_STEPS;900
CH0012138530;2504220;ON_BOOK_PRICE_STEPS;180
CH0012142631;2504222;ON_BOOK_PRICE_STEPS;180
CH0012214059;2504223;ON_BOOK_PRICE_STEPS;180
CH0012221716;2504224;ON_BOOK_PRICE_STEPS;900
