customerid,tenure,phoneservice,internetservice,contract,paperlessbilling,paymentmethod,monthlycharges,totalcharges,churn
7590-VHVEG,1,No,DSL,Month-to-month,Yes,Electronic check,29.85,29.85,False
5575-GNVDE,34,Yes,DSL,One year,,Mailed check,56.95,1889.50,False
3668-QPYBK,2,Yes,DSL,Month-to-month,,Mailed check,53.85,108.15,True
7795-CFOCW,45,No,DSL,One year,No,Bank transfer (automatic),42.30,1840.75,False
9237-HQITU,2,Yes,Fiber optic,Month-to-month,Yes,Electronic check,70.70,151.65,True
9305-CDSKC,8,Yes,Fiber optic,Month-to-month,Yes,Electronic check,99.65,820.50,True
1452-KIOVK,22,Yes,Fiber optic,Month-to-month,Yes,Credit card (automatic),89.10,1949.40,False
6713-OKOMC,10,No,DSL,Month-to-month,No,Mailed check,29.75,301.90,False
7892-POOKP,28,Yes,Fiber optic,Month-to-month,Yes,Electronic check,104.80,3046.05,True
6388-TABGU,62,Yes,DSL,One year,No,Bank transfer (automatic),56.15,3487.95,False
9763-GRSKD,13,Yes,DSL,Month-to-month,Yes,Mailed check,49.95,587.45,False
7469-LKBCI,16,Yes,No,Two year,No,Credit card (automatic),18.95,326.80,False
8091-TTVAX,58,Yes,Fiber optic,One year,No,Credit card (automatic),100.35,5681.10,False
0280-XJGEX,49,Yes,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),103.70,5036.30,True
5129-JLPIS,25,Yes,Fiber optic,Month-to-month,Yes,Electronic check,105.50,2686.05,False
3655-SNQYZ,69,Yes,Fiber optic,Two year,No,Credit card (automatic),113.25,7895.15,False
8191-XWSZG,52,Yes,No,One year,No,Mailed check,20.65,1022.95,False
9959-WOFKT,71,Yes,Fiber optic,Two year,No,Bank transfer (automatic),106.70,7382.25,False
4190-MFLUW,10,Yes,DSL,Month-to-month,No,Credit card (automatic),55.20,528.35,True
4183-MYFRB,21,Yes,Fiber optic,Month-to-month,Yes,Electronic check,90.05,1862.90,False
8779-QRDMV,1,No,DSL,Month-to-month,Yes,Electronic check,39.65,39.65,True
1680-VDCWW,12,Yes,No,One year,No,Bank transfer (automatic),19.80,202.25,False
1066-JKSGK,1,Yes,No,Month-to-month,No,Mailed check,20.15,20.15,True
3638-WEABW,58,Yes,DSL,Two year,Yes,Credit card (automatic),59.90,3505.10,False
6322-HRPFA,49,Yes,DSL,Month-to-month,No,Credit card (automatic),59.60,2970.30,False
6865-JZNKO,30,Yes,DSL,Month-to-month,Yes,Bank transfer (automatic),55.30,1530.60,False
