ISIN,Mnemonic,SecurityDesc,SecurityType,Currency,SecurityID,Date,Time,StartPrice,MaxPrice,MinPrice,EndPrice,TradedVolume,NumberOfTrades
"LU1066226637","STM","STABILUS S.A. INH. EO-,01","Common stock","EUR",2506096,2019-06-17,14:00,36.48,36.52,36.34,36.34,1165,24
"DE000BASF111","BAS","BASF SE NA O.N.","Common stock","EUR",2504663,2019-06-17,14:00,60,60,59.99,60,2595,12
"IE00B1FZS806","IBCM","ISHSII-EO G.BD 7-10YR EOD","ETF","EUR",2505592,2019-06-17,14:00,221.38,221.38,221.38,221.38,300,1
"DE0006969603","PUM","PUMA SE","Common stock","EUR",2505067,2019-06-17,14:00,54.5,54.5,54.5,54.5,279,1
"DE000PSM7770","PSM","PROSIEBENSAT.1  NA O.N.","Common stock","EUR",2504848,2019-06-17,14:00,14.525,14.525,14.525,14.525,1000,4
"DE000A0DJ6J9","S92","SMA SOLAR TECHNOL.AG","Common stock","EUR",2504287,2019-06-17,14:00,24.02,24.02,23.92,23.92,609,4
"LU0444606965","8522","C.I.E.S.G.C.5-10T.U.ETF I","ETF","EUR",2505962,2019-06-17,14:00,150.725,150.725,150.725,150.725,9,1
"DE000A0F5UH1","ISPA","IS.S.GL.SE.D.100 U.ETF A.","ETF","EUR",2504305,2019-06-17,14:00,27.42,27.42,27.42,27.42,300,1
"DE0006202005","SZG","SALZGITTER AG O.N.","Common stock","EUR",2505016,2019-06-17,14:00,22.92,22.93,22.92,22.93,261,2
"NL0012044747","SAE","SHOP APOTHEKE EUROPE INH.","Common stock","EUR",2506271,2019-06-17,14:00,34.95,34.95,34.95,34.95,23,1
"DE0008232125","LHA","LUFTHANSA AG VNA O.N.","Common stock","EUR",2505130,2019-06-17,14:00,15.75,15.755,15.75,15.755,1051,8
"DE0005501357","SPR","A.SPRINGER SE VNA","Common stock","EUR",2504947,2019-06-17,14:00,62.1,62.15,62.05,62.05,35311,15
"DE0006062144","1COV","COVESTRO AG  O.N.","Common stock","EUR",2505008,2019-06-17,14:00,41.01,41.03,41.01,41.03,1135,6
"LU0508799334","5X60","C.S.-COM.BU.-FU.T.U.ETF I","ETF","EUR",2505996,2019-06-17,14:00,171.78,171.78,171.78,171.78,8,1
"DE0005557508","DTE","DT.TELEKOM AG NA","Common stock","EUR",2504954,2019-06-17,14:00,15.362,15.364,15.362,15.364,5805,10
"DE0007493991","SAX","STROEER SE + CO. KGAA","Common stock","EUR",2505103,2019-06-17,14:00,60,60.05,59.95,60.05,403,4
"US67066G1040","NVD","NVIDIA CORP.      DL-,001","Common stock","EUR",2506544,2019-06-17,14:00,129.16,129.16,129.16,129.16,20,1
"IT0003132476","ENI","ENI S.P.A.","Common stock","EUR",2505806,2019-06-17,14:00,13.866,13.866,13.866,13.866,717,2
"DE000UNSE018","UN01","UNIPER SE  NA O.N.","Common stock","EUR",2504856,2019-06-17,14:00,26.06,26.06,26.06,26.06,437,2
"US0378331005","APC","APPLE INC.","Common stock","EUR",2506434,2019-06-17,14:00,173.16,173.18,173.16,173.18,50,2
"DE000A0H08R2","EXV2","ISH.S.EU.600 TEL.U.ETF A.","ETF","EUR",2504334,2019-06-17,14:00,21.845,21.845,21.845,21.845,806,1
"DE0005785604","FRE","FRESENIUS SE+CO.KGAA O.N.","Common stock","EUR",2504973,2019-06-17,14:00,46.315,46.325,46.305,46.325,1139,7
"DE000A1PHFF7","BOSS","HUGO BOSS AG NA O.N.","Common stock","EUR",2504512,2019-06-17,14:00,54.52,54.52,54.52,54.52,364,2
"LU0392496260","X025","C.-MSCI E.MD.CP.T.U.ETF I","ETF","EUR",2505931,2019-06-17,14:00,96.65,96.65,96.65,96.65,11,1
"DE0006048432","HEN3","HENKEL AG+CO.KGAA VZO","Common stock","EUR",2505004,2019-06-17,14:00,87.3,87.3,87.24,87.28,3111,18
"LU0488317701","CD91","C.S.-NYSE AR.GO.B.U.ETF I","ETF","EUR",2505989,2019-06-17,14:00,15.416,15.416,15.356,15.356,4089,3
"BE0974293251","1NBA","ANHEUSER-BUSCH INBEV","Common stock","EUR",2504195,2019-06-17,14:00,74.74,74.74,74.74,74.74,100,1
"DE000A2E4K43","DHER","DELIVERY HERO SE NA O.N.","Common stock","EUR",2518798,2019-06-17,14:00,37.34,37.34,37.34,37.34,11,1
"DE000WAF3001","WAF","SILTRONIC AG NA O.N.","Common stock","EUR",2504859,2019-06-17,14:00,57.44,57.46,57.44,57.46,52,2
