Company,Ticker,Sector,Mid-price (p),Change,Our view,Brokers,Strong Buy,Buy,Neutral,Sell,Strong Sell,Recommendation
3i,III,Financial Services,"1,099.50",0.0171,Hold,5,n/a,4,1,0,0,Buy
Admiral Group,ADM,Nonlife Insurance,"2,115.00",-0.42%,Hold,18,n/a,2,6,7,3,Underweight
Anglo American plc,AAL,Mining,"1,744.00",0.0154,Hold,24,n/a,15,6,2,0,Buy
Antofagasta,ANTO,Mining,848.2,0.0326,Hold,21,n/a,8,9,3,0,Overweight
Ashtead Group,AHT,Support Services,"2,207.00",0.0347,Buy,17,n/a,12,5,0,0,Buy
Associated British Foods,ABF,Food Producers,"2,260.00",0.00,Hold,20,n/a,13,5,1,0,Buy
AstraZeneca,AZN,Pharmaceuticals & Biotechnology,"7,368.00",0.014,Buy,25,n/a,16,5,2,2,Buy
Auto Trader Group,AUTO,Media,523.8,-0.42%,Hold,19,n/a,4,11,4,0,Neutral
Aveva,AVV,Software & Computer Services,"3,698.00",-0.38%,Hold,15,n/a,5,7,2,0,Overweight
Aviva,AV.,Life Insurance,356.4,0.0082,Buy,17,n/a,12,4,0,0,Buy
BAE Systems,BA.,Aerospace & Defence,544.2,0.0138,Buy,19,n/a,9,10,0,0,Overweight
Barclays,BARC,Banks,137.58,0.0104,Hold,18,n/a,8,6,2,0,Overweight
Barratt Developments,BDEV,Household Goods & Home Construction,629,0.0064,Hold,13,n/a,7,3,2,0,Overweight
Berkeley Group Holdings,BKG,Household Goods & Home Construction,"2,870.50",0.0143,Hold,12,n/a,3,5,3,0,Neutral
BHP,BHP,Mining,"3,865.00",0.0238,Hold,23,n/a,3,16,2,2,Neutral
BP,BP.,Oil & Gas Producers,"1,733.00",0.0123,Buy,29,n/a,15,9,0,1,Buy
British American Tobacco,BATS,Tobacco,503.3,0.0091,Buy,20,n/a,14,4,1,1,Buy
British Land,BLND,Real Estate Investment Trusts,509.6,-0.04%,Hold,15,n/a,1,11,2,0,Neutral
BT Group,BT-A,Fixed Line Telecommunications,163.88,0.0079,Hold,19,n/a,11,6,2,0,Overweight
Bunzl,BNZL,Support Services,"1,990.50",0.0061,Buy,14,n/a,5,3,5,0,Neutral
Burberry,BRBY,Personal Goods,"2,162.00",0.0222,Hold,20,n/a,2,12,2,4,Underweight
Carnival Corporation & plc,CCL,Travel & Leisure,"3,466.00",0.0297,Hold,21,n/a,7,13,0,0,Overweight
Centrica,CNA,"Gas, Water & Multi-utilities",68.02,0.0074,Hold,17,n/a,1,12,3,0,Neutral
Coca-Cola HBC,CCH,Beverages,"2,705.00",0.0019,Hold,14,n/a,10,4,0,0,Buy
Compass Group,CPG,Support Services,"2,076.00",-0.24%,Buy,18,n/a,7,6,1,4,Overweight
CRH plc,CRH,Construction & Materials,"2,727.00",0.0306,Buy,21,n/a,15,5,0,0,Buy
Croda International,CRDA,Chemicals,"4,658.00",0.0206,Hold,18,n/a,5,10,3,0,Neutral
DCC plc,DCC,Support Services,"6,902.00",0.01,Hold,13,n/a,11,1,0,0,Strong Buy
Diageo,DGE,Beverages,"3,484.50",0.0087,Buy,25,n/a,11,10,1,3,Overweight
Direct Line Group,DLG,Non-life Insurance,286.6,0.001,Hold,20,n/a,6,10,1,2,Overweight
Evraz,EVR,Industrial Metals & Mining,483.5,-0.39%,Sell,12,n/a,3,4,4,0,Neutral
