name,region,lon,lat,kind
Aaron's Hill,Surrey,-0.63098,51.18291,Train
Abbas Combe,Somerset,-2.41825,51.002829999999996,Train
Abberley,Worcestershire,-2.37574,52.30522,Train
Abberton,Essex,0.91066,51.8344,Train
Abberton,Worcestershire,-2.0081700000000002,52.17955,Train
Abberwick,Northumberland,-1.7972,55.41325,Train
Abbess End,Essex,0.28171999999999997,51.78,Train
Abbess Roding,Essex,0.27685,51.77815,Train
Abbey,Devon,-3.22276,50.88896,Train
Abbeycwmhir / Abaty Cwm-hir,Powys,-3.3898800000000002,52.33104,Train
Abbeydale,Gloucestershire,-2.19922,51.84615,Train
Abbeydale,South Yorkshire,-1.51011,53.33603000000001,Train
Abbeydale,Worcestershire,-1.9265900000000002,52.3117,Train
Abbeydale Park,South Yorkshire,-1.52539,53.32291,Test
Abbey Dore,Herefordshire,-2.89607,51.96946,Test
Abbey End,Warwickshire,-1.58043,52.344120000000004,Train
Abbey Field,Essex,0.8973,51.883359999999996,Train
Abbey Fields,Warwickshire,-1.58497,52.3449,Train
Abbey Gate,Devon,-3.0011799999999997,50.77278,Train
Abbey Green,Shropshire,-2.73475,52.89393000000001,Train
Abbey Green,Staffordshire,-2.03283,53.11713,Train
Abbey Hey,Greater Manchester,-2.15963,53.46514000000001,Train
Abbeyhill,City of Edinburgh,-3.1697,55.95738000000001,Train
Abbey Hulton,Staffordshire,-2.1400200000000003,53.035059999999994,Train
Abbey Mead,Surrey,-0.49928999999999996,51.39692,Train
Abbey Meads,Wiltshire,-1.7964200000000001,51.60084000000001,Train
Abbey Parks,Fife,-3.46159,56.06989,Train
Abbey St Bathans,Berwickshire,-2.38104,55.84934000000001,Train
Abbeystead,Lancashire,-2.66703,53.98364,Train
Abbeytown,Cumbria,-3.2897,54.84466,Train
Abbey Village,Lancashire,-2.5459400000000003,53.70007,Train
Abbey Wood,Greater London,0.10803,51.490829999999995,Train
Abbey Yard,The Stewartry of Kirkcudbright,-3.9771300000000003,54.95903000000001,Train
Abbotrule,"Roxburgh, Ettrick and Lauderdale",-2.61892,55.40936,Train
Abbots Bickington,Devon,-4.29936,50.89745,Train
Abbots Bromley,Staffordshire,-1.87725,52.817190000000004,Train
Abbotsbury,Devon,-3.61246,50.532959999999996,Train
Abbotsbury,Dorset,-2.59953,50.66559,Test
Abbotsford,West Sussex,-0.14434,50.97296,Train
Abbotsham,Devon,-4.2473800000000015,51.01613,Train
Abbotside,Gloucestershire,-2.45223,51.61351,Train
Abbotskerswell,Devon,-3.61335,50.50767000000001,Train
Abbots Langley,Hertfordshire,-0.41753999999999997,51.70577,Train
Abbots Leigh,Somerset,-2.6664,51.46071,Train
Abbotsley,Cambridgeshire,-0.20294,52.19323,Train
Abbotsmead,Cumbria,-3.20135,54.11594,Train
Abbot's Mead,Cheshire,-2.9014900000000003,53.20672,Train
Abbot's Meads,Cheshire,-2.9071599999999997,53.201119999999996,Train
Abbots Morton,Worcestershire,-1.9603700000000002,52.19399,Train
Abbots Ripton,Cambridgeshire,-0.19329000000000002,52.3872,Train
Abbot's Salford,Warwickshire,-1.9010799999999999,52.15082,Train
Abbotstone,Hampshire,-1.19707,51.10725,Train
Abbotswood,Hampshire,-1.4866,51.00926,Train
Abbotswood,Surrey,-0.55628,51.25201,Train
Abbotswood,Worcestershire,-2.16338,52.14157,Test
Abbots Worthy,Hampshire,-1.2909700000000002,51.09132,Train
Abbotts Ann,Hampshire,-1.5314,51.19068,Train
Abbotts Barton,Hampshire,-1.31359,51.07494000000001,Train
Abcott,Shropshire,-2.89624,52.40201,Train
Abdon,Shropshire,-2.6284799999999997,52.4734,Train
Abdy,South Yorkshire,-1.34598,53.48143,Train
Abenhall,Gloucestershire,-2.4809,51.85366,Train
Aber,Dyfed,-4.22539,52.11315,Train
Aber,Powys,-3.30157,51.883759999999995,Train
Aberaeron,Dyfed,-4.25925,52.242259999999995,Train
Aberaman,Mid Glamorgan,-3.4296900000000003,51.70173,Train
Aberangell,Gwynedd,-3.7116,52.67811999999999,Train
Aber-Arad,Dyfed,-4.456919999999998,52.035959999999996,Train
Aberarder,Inverness,-4.50913,56.95353000000001,Train
Aberargie,Perth and Kinross,-3.35753,56.3269,Train
Aberarth,Dyfed,-4.2282,52.25011,Test
Aberavon,West Glamorgan,-3.80199,51.593309999999995,Train
Aber-banc,Dyfed,-4.39876,52.04967,Train
Aberbargoed / Aberbargod,Gwent,-3.22416,51.693690000000004,Train
Aberbechan,Powys,-3.27475,52.53735,Train
Aberbeeg / Aber-big,Gwent,-3.1480099999999998,51.71028,Train
Aberbran,Powys,-3.4796199999999997,51.95603,Train
Abercanaid,Mid Glamorgan,-3.3644300000000005,51.72359,Train
Abercarn,Gwent,-3.13475,51.64734,Test
Abercastle,Dyfed,-5.1246599999999995,51.9582,Train
Abercegir,Powys,-3.76894,52.600319999999996,Train
Aberchalder,Inverness,-4.74371,57.09339,Train
Aberchirder,Banffshire,-2.62878,57.56028000000001,Train
Aber-Clydach,West Glamorgan,-3.89984,51.69447,Train
Abercorn,West Lothian,-3.47281,55.99415,Train
Abercrave / Abercraf,Powys,-3.7172199999999997,51.7998,Train
Abercregan,West Glamorgan,-3.66362,51.65629000000001,Train
Abercrombie,Fife,-2.7789900000000003,56.21573000000001,Test
Abercwmboi,Mid Glamorgan,-3.4110300000000002,51.68971,Train
Abercych,Dyfed,-4.555,52.038709999999995,Train
Abercynon,Mid Glamorgan,-3.32849,51.64611,Train
Aber-Cywarch,Gwynedd,-3.67705,52.72773000000001,Train
Aberdalgie,Perth and Kinross,-3.4926199999999996,56.36552,Train
Aberdare / Aberdâr,Mid Glamorgan,-3.4477800000000003,51.71356,Train
Aberdaron,Gwynedd,-4.7073599999999995,52.81058,Train
Aberdeen,City of Aberdeen,-2.09376,57.14985,Train
Aberdesach,Gwynedd,-4.34901,53.03608000000001,Train
Aberdour,Fife,-3.30185,56.05372,Train
Aberdovey / Aberdyfi,Gwynedd,-4.04434,52.54395,Train
Aberdulais,West Glamorgan,-3.7747800000000002,51.68154000000001,Train
Aberedw,Powys,-3.34692,52.11716,Test
Aber Eiddy,Dyfed,-5.20449,51.93609,Train
Abererch,Gwynedd,-4.3832900000000015,52.90344,Train
Aberfan,Mid Glamorgan,-3.34593,51.69282000000001,Train
Aberfeldy,Perth and Kinross,-3.86844,56.619009999999996,Train
Aberffraw,Gwynedd,-4.4648400000000015,53.1914,Train
Aberffrwd,Dyfed,-3.9316800000000014,52.391709999999996,Train
Aberford,West Yorkshire,-1.34296,53.82978000000001,Train
Aberfoyle,Stirling and Falkirk,-4.37868,56.17811,Train
Abergarw,Mid Glamorgan,-3.57447,51.5539,Train
Abergarwed,West Glamorgan,-3.71412,51.70767,Train
Abergavenny / Y Fenni,Gwent,-3.01838,51.82194000000001,Train
Abergeirw,Gwynedd,-3.83366,52.838069999999995,Train
Abergeldie,Aberdeenshire,-3.1775,57.041419999999995,Train
Abergele,Clwyd,-3.5829199999999997,53.28438000000001,Train
Aber-Giâr,Dyfed,-4.1835,52.047979999999995,Train
Abergorlech,Dyfed,-4.06208,51.98292,Train
Abergwesyn,Powys,-3.67564,52.16109,Train
Abergwili,Dyfed,-4.2721800000000005,51.86854,Train
Abergwynfi,West Glamorgan,-3.60109,51.65334,Train
Abergwyngregyn,Gwynedd,-4.015219999999999,53.23395,Test
Abergynolwyn,Gwynedd,-3.95669,52.64459,Train
Aberhafesp,Powys,-3.37364,52.521330000000006,Test
Aberhosan,Powys,-3.7543699999999998,52.56139,Train
Aberkenfig / Abercynffig,Mid Glamorgan,-3.5967800000000003,51.54022,Train
Aberlady,East Lothian,-2.8589,56.009519999999995,Train
Aberlemno,Angus,-2.78326,56.69053,Train
Aberlerry,Dyfed,-4.0570699999999995,52.51249,Train
Aberllefenni,Gwynedd,-3.8197300000000003,52.673559999999995,Train
Abermagwr,Dyfed,-3.9602699999999995,52.34607000000001,Train
Abermeurig,Dyfed,-4.10744,52.1832,Train
Abermorddu / Yr Hôb,Clwyd,-3.03375,53.10422,Train
Abermorlais,Mid Glamorgan,-3.38141,51.749,Test
Abermule / Aber-miwl,Powys,-3.23671,52.54414000000001,Train
Aber-nant,Clwyd,-3.07938,52.97813000000001,Train
Abernant,Dyfed,-4.41259,51.882690000000004,Train
Abernant,Mid Glamorgan,-3.43601,51.71925,Test
Abernethy,Perth and Kinross,-3.31141,56.33262,Train
Abernyte,Perth and Kinross,-3.20498,56.46729000000001,Train
Aber-oer,Clwyd,-3.06743,53.03354,Train
Aberporth,Dyfed,-4.54172,52.13256,Train
Aber Pwll,Gwynedd,-4.19611,53.19136999999999,Train
Aber Rhaeadr,Powys,-3.29169,52.81463000000001,Train
Abersoch,Gwynedd,-4.50436,52.82471999999999,Train
Abersychan,Gwent,-3.0672,51.735820000000004,Train
Aber-Tafol,Gwynedd,-3.99401,52.55356999999999,Train
Aberthin,South Glamorgan,-3.4263199999999996,51.46798,Train
Abertillery / Abertyleri,Gwent,-3.13386,51.73037,Train
Abertridwr,Gwent,-3.2713400000000004,51.59613,Train
Abertridwr,Powys,-3.4333699999999996,52.76106,Train
Abertrinant,Gwynedd,-4.01825,52.63004,Train
Abertysswg,Gwent,-3.2593099999999997,51.742290000000004,Train
Aberuthven,Perth and Kinross,-3.6499900000000003,56.31966,Test
Aber Village,Powys,-3.30176,51.88485,Train
Aberwheeler / Aberchwiler,Clwyd,-3.3540400000000004,53.21354,Train
Aberyscir,Powys,-3.45755,51.95848,Train
Aberystwyth,Dyfed,-4.08367,52.41499,Test
Abhainn Suidhe,Western Isles,-6.99368,57.96225,Test
Abingdon-on-Thames,Oxfordshire,-1.28098,51.67014,Train
Abinger Bottom,Surrey,-0.3878,51.19096,Train
Abinger Common,Surrey,-0.40181999999999995,51.199529999999996,Train
Abinger Hammer,Surrey,-0.43146,51.21417,Train
Abington,Lanarkshire,-3.69204,55.492059999999995,Train
Abington,Northamptonshire,-0.8584,52.24496,Train
Abington Pigotts,Cambridgeshire,-0.09371,52.083259999999996,Train
Abington Vale,Northamptonshire,-0.85183,52.24133,Train
Abingworth,West Sussex,-0.43327,50.93945,Train
Ab Kettleby,Leicestershire,-0.92801,52.80007,Train
Ab Lench,Worcestershire,-1.9833900000000002,52.16445,Train
Ablington,Gloucestershire,-1.84998,51.7673,Train
Ablington,Wiltshire,-1.77288,51.22188,Train
Abney,Derbyshire,-1.70443,53.31482,Train
Above Church,Staffordshire,-1.9769700000000001,53.05089,Test
Aboyne,Aberdeenshire,-2.79208,57.07588000000001,Train
Abraham Heights,Lancashire,-2.81772,54.04421,Train
Abram,Greater Manchester,-2.5926400000000003,53.50949,Train
Abram Brow,Greater Manchester,-2.5902700000000003,53.507909999999995,Train
Abriachan,Inverness,-4.40428,57.38625,Train
Abridge,Essex,0.11802,51.65108,Train
Abronhill,Dunbartonshire,-3.9486,55.957980000000006,Test
Abshot,Hampshire,-1.26597,50.84747,Train
Abson,Gloucestershire,-2.42655,51.47201,Train
Abthorpe,Northamptonshire,-1.05275,52.11252,Train
Abune-the-Hill,Orkney,-3.23533,59.13606,Train
Abwell,Gloucestershire,-2.45873,51.70508,Train
Aby,Lincolnshire,0.11672,53.28341999999999,Train
Acairseid,Western Isles,-7.29541,57.07015,Train
