category,main_category,goal,outcome,backers,country
Photography,Photography,20000,failed,1,US
Film & Video,Film & Video,200,failed,1,NL
Webseries,Film & Video,12000,failed,19,US
Food,Food,20000,successful,266,US
Art,Art,7500,failed,3,US
Plays,Theater,2000,canceled,2,GB
Journalism,Journalism,250,failed,6,US
Fabrication Tools,Technology,125000,failed,11,CA
Childrenswear,Fashion,40000,failed,0,US
Food,Food,15,failed,0,US
Shorts,Film & Video,2000,successful,39,US
Food,Food,7000,successful,69,US
Web,Technology,5000,failed,6,GB
Web,Technology,5000,failed,11,GB
Animation,Film & Video,100000,canceled,0,US
Events,Food,30000,failed,0,US
Photography,Photography,43700,canceled,8,US
Country & Folk,Music,6000,successful,69,US
Apps,Technology,44,successful,11,FR
Narrative Film,Film & Video,32000,failed,23,US
Film & Video,Film & Video,20000,failed,5,US
Fiction,Publishing,10000,canceled,0,US
Fine Art,Photography,500000,failed,0,US
Product Design,Design,1350,successful,24,US
Drinks,Food,2500,failed,0,US
Food Trucks,Food,40000,failed,2,US
Narrative Film,Film & Video,2000,successful,41,US
Tabletop Games,Games,36000,canceled,81,US
Children's Books,Publishing,5000,failed,2,SG
Video Games,Games,5300,failed,3,CA
Web,Technology,86350,canceled,7,US
Product Design,Design,14000,successful,51,US
Television,Film & Video,50000,canceled,1,US
Web,Technology,12400,canceled,1,US
Spaces,Theater,25000,successful,173,US
Software,Technology,75000,failed,0,CA
Webseries,Film & Video,300,successful,15,US
Mobile Games,Games,5000,failed,1,NL
Anthologies,Publishing,10000,failed,2,US
Farms,Food,120000,failed,32,AU
Fiction,Publishing,4500,failed,16,US
Film & Video,Film & Video,2500,failed,1,US
Film & Video,Film & Video,145000,failed,1,US
Crochet,Crafts,400,canceled,0,US
Comedy,Film & Video,5000,failed,16,US
World Music,Music,6000,successful,166,US
Shorts,Film & Video,1500,successful,48,GB
Apps,Technology,12000,failed,43,FR
Theater,Theater,500,successful,9,US
Documentary,Film & Video,14000,successful,563,US
Narrative Film,Film & Video,8500,failed,0,US
Nonfiction,Publishing,7500,successful,199,US
Food,Food,17000,failed,6,US
Drinks,Food,40000,failed,33,US
Ceramics,Art,1500,canceled,0,IT
Hip-Hop,Music,5000,failed,2,US
Pop,Music,6000,failed,0,US
Food,Food,10000,failed,16,US
Rock,Music,3700,successful,168,GB
Video,Journalism,40000,failed,0,NZ
Design,Design,40000,failed,4,US
Film & Video,Film & Video,80,successful,6,US
